From_Date,End_Date,SMA,EMA,RSI,SO
1999-11-18,1999-12-09,Infinity,Infinity,-33.92824,NaN
1999-11-19,1999-12-10,Infinity,NaN,-23.213737,NaN
1999-11-22,1999-12-13,Infinity,NaN,-78.57099,NaN
1999-11-23,1999-12-14,Infinity,NaN,76.78558,NaN
1999-11-24,1999-12-15,Infinity,NaN,624.9985,NaN
1999-11-26,1999-12-16,Infinity,NaN,-391.07022,NaN
1999-11-29,1999-12-17,Infinity,NaN,6.5000534,NaN
1999-11-30,1999-12-20,Infinity,NaN,17.127136,NaN
1999-12-01,1999-12-21,Infinity,NaN,50.00017,NaN
1999-12-02,1999-12-22,Infinity,NaN,-27.678719,NaN
1999-12-03,1999-12-23,Infinity,NaN,-195.19989,NaN
1999-12-06,1999-12-27,Infinity,NaN,-148.9176,NaN
1999-12-07,1999-12-28,Infinity,NaN,-267.38458,NaN
1999-12-08,1999-12-29,Infinity,NaN,-232.27505,NaN
1999-12-09,1999-12-30,Infinity,NaN,-88.30021,NaN
1999-12-10,1999-12-31,Infinity,NaN,-13.800049,NaN
1999-12-13,2000-01-03,Infinity,NaN,10.333252,NaN
1999-12-14,2000-01-04,Infinity,NaN,345.66678,NaN
1999-12-15,2000-01-05,Infinity,NaN,431.3334,NaN
1999-12-16,2000-01-06,Infinity,NaN,575.0,NaN
1999-12-17,2000-01-07,Infinity,NaN,443.6666,NaN
1999-12-20,2000-01-10,Infinity,NaN,320.66678,NaN
1999-12-21,2000-01-11,Infinity,NaN,343.66656,NaN
1999-12-22,2000-01-12,Infinity,NaN,375.0,NaN
1999-12-23,2000-01-13,Infinity,NaN,314.66675,NaN
1999-12-27,2000-01-14,Infinity,NaN,329.0001,NaN
1999-12-28,2000-01-18,Infinity,NaN,212.33342,NaN
1999-12-29,2000-01-19,Infinity,NaN,241.66667,NaN
1999-12-30,2000-01-20,Infinity,NaN,279.0001,NaN
1999-12-31,2000-01-21,Infinity,NaN,748.115,NaN
2000-01-03,2000-01-24,Infinity,NaN,8.6759,NaN
2000-01-04,2000-01-25,Infinity,NaN,110.65089,NaN
2000-01-05,2000-01-26,Infinity,NaN,133.13591,NaN
2000-01-06,2000-01-27,Infinity,NaN,59.17151,NaN
2000-01-07,2000-01-28,Infinity,NaN,118.34302,NaN
2000-01-10,2000-01-31,Infinity,NaN,228.99391,NaN
2000-01-11,2000-02-01,Infinity,NaN,-29.585754,NaN
2000-01-12,2000-02-02,Infinity,NaN,-295.85757,NaN
2000-01-13,2000-02-03,Infinity,NaN,-25.303633,NaN
2000-01-14,2000-02-04,Infinity,NaN,-0.0,NaN
2000-01-18,2000-02-07,Infinity,NaN,-81.818184,NaN
2000-01-19,2000-02-08,Infinity,NaN,-82.7693,NaN
2000-01-20,2000-02-09,Infinity,NaN,64.799805,NaN
2000-01-21,2000-02-10,Infinity,NaN,55.200195,NaN
2000-01-24,2000-02-11,Infinity,NaN,215.20018,NaN
2000-01-25,2000-02-14,Infinity,NaN,204.79979,NaN
2000-01-26,2000-02-15,Infinity,NaN,-280.0,NaN
2000-01-27,2000-02-16,Infinity,NaN,-0.0,NaN
2000-01-28,2000-02-17,Infinity,NaN,-604.8001,NaN
2000-01-31,2000-02-18,Infinity,NaN,6.3564277,NaN
2000-02-01,2000-02-22,Infinity,NaN,-4.2505274,NaN
2000-02-02,2000-02-23,Infinity,NaN,-42.857143,NaN
2000-02-03,2000-02-24,Infinity,NaN,-222.52368,NaN
2000-02-04,2000-02-25,Infinity,NaN,-112.698326,NaN
2000-02-07,2000-02-28,Infinity,NaN,-22.916656,NaN
2000-02-08,2000-02-29,Infinity,NaN,60.41676,NaN
2000-02-09,2000-03-01,Infinity,NaN,-77.0835,NaN
2000-02-10,2000-03-02,Infinity,NaN,-18.75005,NaN
2000-02-11,2000-03-03,Infinity,NaN,-56.25015,NaN
2000-02-14,2000-03-06,Infinity,NaN,-1259.5248,NaN
2000-02-15,2000-03-07,Infinity,NaN,-4.3010755,NaN
2000-02-16,2000-03-08,Infinity,NaN,25.0,NaN
2000-02-17,2000-03-09,Infinity,NaN,26.31579,NaN
2000-02-18,2000-03-10,Infinity,NaN,29.285759,NaN
2000-02-22,2000-03-13,Infinity,NaN,143.57147,NaN
2000-02-23,2000-03-14,Infinity,NaN,164.28572,NaN
2000-02-24,2000-03-15,Infinity,NaN,220.71423,NaN
2000-02-25,2000-03-16,Infinity,NaN,257.14285,NaN
2000-02-28,2000-03-17,Infinity,NaN,228.57144,NaN
2000-02-29,2000-03-20,Infinity,NaN,267.85715,NaN
2000-03-01,2000-03-21,Infinity,NaN,314.2857,NaN
2000-03-02,2000-03-22,Infinity,NaN,272.14285,NaN
2000-03-03,2000-03-23,Infinity,NaN,251.42856,NaN
2000-03-06,2000-03-24,Infinity,NaN,271.42856,NaN
2000-03-07,2000-03-27,Infinity,NaN,418.75,NaN
2000-03-08,2000-03-28,Infinity,NaN,388.74997,NaN
2000-03-09,2000-03-29,Infinity,NaN,400.0,NaN
2000-03-10,2000-03-30,Infinity,NaN,1475.0,NaN
2000-03-13,2000-03-31,Infinity,NaN,1405.5533,NaN
2000-03-14,2000-04-03,Infinity,NaN,240.54056,NaN
2000-03-15,2000-04-04,Infinity,NaN,623.3332,NaN
2000-03-16,2000-04-05,Infinity,NaN,707.3334,NaN
2000-03-17,2000-04-06,Infinity,NaN,536.6666,NaN
2000-03-20,2000-04-07,Infinity,NaN,-166.66666,NaN
2000-03-21,2000-04-10,Infinity,NaN,-0.0,NaN
2000-03-22,2000-04-11,Infinity,NaN,341.99997,NaN
2000-03-23,2000-04-12,Infinity,NaN,455.00003,NaN
2000-03-24,2000-04-13,Infinity,NaN,434.7826,NaN
2000-03-27,2000-04-14,Infinity,NaN,383.05878,NaN
2000-03-28,2000-04-17,Infinity,NaN,463.17648,NaN
2000-03-29,2000-04-18,Infinity,NaN,283.3333,NaN
2000-03-30,2000-04-19,Infinity,NaN,215.16774,NaN
2000-03-31,2000-04-20,Infinity,NaN,203.02013,NaN
2000-04-03,2000-04-24,Infinity,NaN,198.79195,NaN
2000-04-04,2000-04-25,Infinity,NaN,177.44966,NaN
2000-04-05,2000-04-26,Infinity,NaN,179.93286,NaN
2000-04-06,2000-04-27,Infinity,NaN,192.953,NaN
2000-04-07,2000-04-28,Infinity,NaN,214.36241,NaN
2000-04-10,2000-05-01,Infinity,NaN,466.0001,NaN
2000-04-11,2000-05-02,Infinity,NaN,-238.80504,NaN
2000-04-12,2000-05-03,Infinity,NaN,83.33341,NaN
2000-04-13,2000-05-04,Infinity,NaN,276.78577,NaN
2000-04-14,2000-05-05,Infinity,NaN,219.04759,NaN
2000-04-17,2000-05-08,Infinity,NaN,265.47632,NaN
2000-04-18,2000-05-09,Infinity,NaN,425.59525,NaN
2000-04-19,2000-05-10,Infinity,NaN,628.27374,NaN
2000-04-20,2000-05-11,Infinity,NaN,637.50006,NaN
2000-04-24,2000-05-12,Infinity,NaN,83.33341,NaN
2000-04-25,2000-05-15,Infinity,NaN,291.6667,NaN
2000-04-26,2000-05-16,Infinity,NaN,114.88096,NaN
2000-04-27,2000-05-17,Infinity,NaN,507.44046,NaN
2000-04-28,2000-05-18,Infinity,NaN,650.59515,NaN
2000-05-01,2000-05-19,Infinity,NaN,777.0832,NaN
2000-05-02,2000-05-22,Infinity,NaN,976.19037,NaN
2000-05-03,2000-05-23,Infinity,NaN,1510.693,NaN
2000-05-04,2000-05-24,Infinity,NaN,1740.3267,NaN
2000-05-05,2000-05-25,Infinity,NaN,1253.5878,NaN
2000-05-08,2000-05-26,Infinity,NaN,861.7195,NaN
2000-05-09,2000-05-30,Infinity,NaN,551.5628,NaN
2000-05-10,2000-05-31,Infinity,NaN,483.2034,NaN
2000-05-11,2000-06-01,Infinity,NaN,556.6412,NaN
2000-05-12,2000-06-02,Infinity,NaN,334.3752,NaN
2000-05-15,2000-06-05,Infinity,NaN,383.3333,NaN
2000-05-16,2000-06-06,Infinity,NaN,933.3333,NaN
2000-05-17,2000-06-07,Infinity,NaN,192.30759,NaN
2000-05-18,2000-06-08,Infinity,NaN,227.42862,NaN
2000-05-19,2000-06-09,Infinity,NaN,170.28577,NaN
2000-05-22,2000-06-12,Infinity,NaN,173.71434,NaN
2000-05-23,2000-06-13,Infinity,NaN,190.4762,NaN
2000-05-24,2000-06-14,Infinity,NaN,195.23808,NaN
2000-05-25,2000-06-15,Infinity,NaN,263.04758,NaN
2000-05-26,2000-06-16,Infinity,NaN,289.3334,NaN
2000-05-30,2000-06-19,Infinity,NaN,242.85715,NaN
2000-05-31,2000-06-20,Infinity,NaN,111.80958,NaN
2000-06-01,2000-06-21,Infinity,NaN,34.476143,NaN
2000-06-02,2000-06-22,Infinity,NaN,36.952427,NaN
2000-06-05,2000-06-23,Infinity,NaN,60.000004,NaN
2000-06-06,2000-06-26,Infinity,NaN,53.15536,NaN
2000-06-07,2000-06-27,Infinity,NaN,41.019447,NaN
2000-06-08,2000-06-28,Infinity,NaN,-41.019447,NaN
2000-06-09,2000-06-29,Infinity,NaN,-25.142998,NaN
2000-06-12,2000-06-30,Infinity,NaN,-0.0,NaN
2000-06-13,2000-07-03,Infinity,NaN,303.42844,NaN
2000-06-14,2000-07-05,Infinity,NaN,389.14273,NaN
2000-06-15,2000-07-06,Infinity,NaN,517.7142,NaN
2000-06-16,2000-07-07,Infinity,NaN,517.7142,NaN
2000-06-19,2000-07-10,Infinity,NaN,528.5714,NaN
2000-06-20,2000-07-11,Infinity,NaN,625.143,NaN
2000-06-21,2000-07-12,Infinity,NaN,506.8573,NaN
2000-06-22,2000-07-13,Infinity,NaN,400.0,NaN
2000-06-23,2000-07-14,Infinity,NaN,71.42857,NaN
